因子符号
DAVOL10
DAVOL20
DAVOL5
KlingerOscillator
MoneyFlow20
OBV
OBV20
OBV6
STOM
STOQ
TVMA20
TVMA6
TVSTD20
TVSTD6
VDEA
VDIFF
VEMA10
VEMA12
VEMA26
VEMA5
VMACD
VOL10
VOL120
VOL20
VOL240
VOL5
VOL60
VOSC
VR
VROC12
VROC6
VSTD10
VSTD20
ASSI
CETOP
ForwardPE
LCAP
LFLO
MktValue
NIAP
NLSIZE
NegMktValue
PB
PBIndu
PCF
PCFIndu
PE
PEG3Y
PEG5Y
PEHist120
PEHist20
PEHist250
PEHist60
PEIndu
PS
PSIndu
SGRO
StaticPE
TA2EV
TEAP
TotalAssets
AD
AD20
AD6
ADX
ADXR
ASI
Aroon
AroonDown
AroonUp
ChaikinOscillator
ChaikinVolatility
CoppockCurve
DDI
DEA
DHILO
DIF
DIFF
DIZ
EMV14
EMV6
Hurst
MA10RegressCoeff12
MA10RegressCoeff6
MACD
MTM
MTMMA
PLRC12
PLRC6
PVT
PVT12
PVT6
SwingIndex
TRIX10
TRIX5
UOS
Ulcer10
Ulcer5
minusDI
plusDI
BLEV
BondsPayableToAsset
CurrentAssetsRatio
CurrentRatio
DebtEquityRatio
DebtTangibleEquityRatio
DebtsAssetRatio
EquityFixedAssetRatio
EquityToAsset
FixAssetRatio
IntangibleAssetRatio
InteBearDebtToTotalCapital
InterestCover
LongDebtToAsset
LongDebtToWorkingCapital
LongTermDebtToAsset
MLEV
NOCFToInterestBearDebt
NOCFToNetDebt
NOCFToTLiability
NonCurrentAssetsRatio
QuickRatio
SuperQuickRatio
TSEPToInterestBearDebt
TSEPToTotalCapital
TangibleAToInteBearDebt
TangibleAToNetDebt
Alpha120
Alpha20
Alpha60
Beta120
Beta20
Beta252
Beta60
CmraCNE5
DASTD
GainLossVarianceRatio120
GainLossVarianceRatio20
GainLossVarianceRatio60
GainVariance120
GainVariance20
GainVariance60
HsigmaCNE5
InformationRatio120
InformationRatio20
InformationRatio60
Kurtosis120
Kurtosis20
Kurtosis60
LossVariance120
LossVariance20
LossVariance60
RealizedVolatility
SharpeRatio120
SharpeRatio20
SharpeRatio60
TreynorRatio120
TreynorRatio20
TreynorRatio60
Variance120
Variance20
Variance60
AdminiExpenseRate
EBITToTOR
EGRO
ETOP
ETP5
FinancialExpenseRate
GrossIncomeRatio
InvestRAssociatesToTP
InvestRAssociatesToTPLatest
NPCutToNP
NPToTOR
NetNonOIToTP
NetNonOIToTPLatest
NetProfitRatio
OperatingExpenseRate
OperatingNIToTP
OperatingNIToTPLatest
OperatingProfitRatio
OperatingProfitToTOR
PeriodCostsRate
ROA
ROA5
ROAEBIT
ROAEBITTTM
ROE
ROE5
ROEAvg
ROECut
ROECutWeighted
ROEDiluted
ROEWeighted
ROIC
SUE
SUOI
SalesCostRatio
TaxRatio
TotalProfitCostRatio
AR
ARBR
BR
BearPower
BullPower
CR20
Elder
JDQS20
MassIndex
NVI
PSY
PVI
RC12
RC24
RSTR12
RSTR24
RSTR504
TOBT
CapitalSurplusFundPS
CashDividendCover
CashEquivalentPS
CashFlowPS
DilutedEPS
DividendCover
DividendPS
DividendPaidRatio
EPS
EPSTTM
EnterpriseFCFPS
NetAssetPS
OperCashFlowPS
OperatingProfitPS
OperatingProfitPSLatest
OperatingRevenuePS
OperatingRevenuePSLatest
RetainedEarningRatio
RetainedEarningsPS
ShareholderFCFPS
SurplusReserveFundPS
TORPS
TORPSLatest
UndividedProfitPS
