,stock,tradeDate,rets,factor
2176,002371.XSHE,2011-03-31,0,0.3886267931262358
2177,002414.XSHE,2011-03-31,0,0.4014608771897929
2179,002466.XSHE,2011-03-31,0,0.31817084020998654
2181,300014.XSHE,2011-03-31,0,0.37475670914795034
2182,600079.XSHG,2011-03-31,1,0.39594300056293613
2183,600132.XSHG,2011-03-31,0,0.5263438472985997
2184,600143.XSHG,2011-03-31,0,0.4448862469941715
2185,600150.XSHG,2011-03-31,0,0.4664882878921688
2186,600161.XSHG,2011-03-31,0,0.44701832133386044
2187,600426.XSHG,2011-03-31,1,0.41648975565479335
2188,600584.XSHG,2011-03-31,0,0.3847546263456118
2189,600600.XSHG,2011-03-31,1,0.35306828706980575
2191,600763.XSHG,2011-03-31,0,0.45536603004262993
2192,600845.XSHG,2011-03-31,0,0.3410435058994068
2193,600848.XSHG,2011-03-31,0,0.4754282696498106
2196,601898.XSHG,2011-03-31,1,0.4789076023234548
2198,000002.XSHE,2011-04-29,1,0.4968331292895505
2199,000063.XSHE,2011-04-29,1,0.3905440454656073
2200,000069.XSHE,2011-04-29,0,0.4818296511881932
2201,000100.XSHE,2011-04-29,1,0.35869959356041975
2202,000157.XSHE,2011-04-29,1,0.4240112425280578
2203,000338.XSHE,2011-04-29,0,0.42877890735454344
2204,000425.XSHE,2011-04-29,0,0.40680472778374915
2205,000538.XSHE,2011-04-29,1,0.3872539052777297
2206,000568.XSHE,2011-04-29,1,0.5121802856084854
2207,000625.XSHE,2011-04-29,0,0.43489604478977073
2208,000651.XSHE,2011-04-29,1,0.3814275221711558
2209,000725.XSHE,2011-04-29,1,0.46894582729514916
2210,000768.XSHE,2011-04-29,1,0.425152223399723
2213,000858.XSHE,2011-04-29,1,0.5046266558528291
2214,000876.XSHE,2011-04-29,1,0.40461222148236275
2215,000895.XSHE,2011-04-29,1,0.36247110040519964
2216,002007.XSHE,2011-04-29,0,0.34499117568574184
2217,002024.XSHE,2011-04-29,1,0.37735406126220516
2219,002202.XSHE,2011-04-29,1,0.48517484050395976
2220,002241.XSHE,2011-04-29,1,0.4279862868569249
2221,002304.XSHE,2011-04-29,0,0.4377607330199872
2222,002415.XSHE,2011-04-29,1,0.5289763806975758
2224,600009.XSHG,2011-04-29,1,0.4626824056665742
2229,600028.XSHG,2011-04-29,0,0.48699941730367385
2230,600029.XSHG,2011-04-29,0,0.3705315296059403
2232,600031.XSHG,2011-04-29,0,0.5252596589115645
2234,600048.XSHG,2011-04-29,1,0.4037522129420249
2235,600050.XSHG,2011-04-29,1,0.4247688121033209
