,stock,tradeDate,rets,factor
2175,002157.XSHE,2011-03-31,0,0.37671157158009483
2176,002371.XSHE,2011-03-31,0,0.39153303493696273
2177,002414.XSHE,2011-03-31,0,0.33012422455849894
2179,002466.XSHE,2011-03-31,0,0.34951606634313526
2181,300014.XSHE,2011-03-31,0,0.43756453825962965
2182,600079.XSHG,2011-03-31,1,0.4447970546221443
2183,600132.XSHG,2011-03-31,0,0.5203661206714123
2184,600143.XSHG,2011-03-31,0,0.44668538192908125
2185,600150.XSHG,2011-03-31,0,0.5143384765845881
2186,600161.XSHG,2011-03-31,0,0.4867672824136973
2187,600426.XSHG,2011-03-31,1,0.43901386869707787
2188,600584.XSHG,2011-03-31,0,0.4227162138283721
2189,600600.XSHG,2011-03-31,1,0.454827777400638
2191,600763.XSHG,2011-03-31,0,0.4196555360959275
2192,600845.XSHG,2011-03-31,0,0.3480941804009422
2193,600848.XSHG,2011-03-31,0,0.5038824132385644
2196,601898.XSHG,2011-03-31,1,0.39952992852024843
2198,000002.XSHE,2011-04-29,1,0.46369726771311387
2199,000063.XSHE,2011-04-29,1,0.36293969503020224
2200,000069.XSHE,2011-04-29,0,0.4612909375296536
2201,000100.XSHE,2011-04-29,1,0.3244483003009585
2202,000157.XSHE,2011-04-29,1,0.4260590735789902
2203,000338.XSHE,2011-04-29,0,0.3495405539242153
2204,000425.XSHE,2011-04-29,0,0.36121643651587504
2205,000538.XSHE,2011-04-29,1,0.3274282123302223
2206,000568.XSHE,2011-04-29,1,0.5801669076554989
2207,000625.XSHE,2011-04-29,0,0.44998923857522416
2208,000651.XSHE,2011-04-29,1,0.38911363993644926
2209,000725.XSHE,2011-04-29,1,0.4539281918002094
2210,000768.XSHE,2011-04-29,1,0.3827171529265395
2213,000858.XSHE,2011-04-29,1,0.4432816292647405
2214,000876.XSHE,2011-04-29,1,0.3827113428601125
2215,000895.XSHE,2011-04-29,1,0.5309152400180036
2216,002007.XSHE,2011-04-29,0,0.3700228942082223
2217,002024.XSHE,2011-04-29,1,0.3537504003358848
2219,002202.XSHE,2011-04-29,1,0.47978715889300644
2220,002241.XSHE,2011-04-29,1,0.3824916322239817
2221,002304.XSHE,2011-04-29,0,0.46648101642359363
2222,002415.XSHE,2011-04-29,1,0.4503046238324093
2224,600009.XSHG,2011-04-29,1,0.4912854949177974
2229,600028.XSHG,2011-04-29,0,0.4479509821634366
2230,600029.XSHG,2011-04-29,0,0.43836990912980306
2232,600031.XSHG,2011-04-29,0,0.5833172956293698
2234,600048.XSHG,2011-04-29,1,0.3707326577583142
2235,600050.XSHG,2011-04-29,1,0.4971235968455457
2236,600085.XSHG,2011-04-29,0,0.47511889461325624
2237,600104.XSHG,2011-04-29,0,0.3817199079000946
2239,600111.XSHG,2011-04-29,1,0.6251276861026716
2240,600115.XSHG,2011-04-29,0,0.4226371597369415
2241,600196.XSHG,2011-04-29,1,0.3394147058546649
2242,600276.XSHG,2011-04-29,1,0.4177050315604913
2243,600309.XSHG,2011-04-29,0,0.5745509797196745
2245,600362.XSHG,2011-04-29,0,0.3558541463704185
2246,600383.XSHG,2011-04-29,0,0.3834576026756008
2247,600406.XSHG,2011-04-29,0,0.41931077069205874
2248,600489.XSHG,2011-04-29,0,0.49123842902502235
2249,600519.XSHG,2011-04-29,1,0.6603866851136329
2250,600547.XSHG,2011-04-29,0,0.4315045044484077
2251,600585.XSHG,2011-04-29,1,0.4723768477646583
2252,600588.XSHG,2011-04-29,1,0.46037648111410656
2253,600660.XSHG,2011-04-29,1,0.5849998651949352
2254,600690.XSHG,2011-04-29,0,0.3700433866911757
2255,600741.XSHG,2011-04-29,0,0.4317420876593316
2256,600795.XSHG,2011-04-29,0,0.41163444918941755
2258,600887.XSHG,2011-04-29,1,0.504539844529626
2259,600893.XSHG,2011-04-29,0,0.43659738673232373
2260,600900.XSHG,2011-04-29,0,0.5546660568714636
2262,601006.XSHG,2011-04-29,1,0.6252378582016103
2264,601088.XSHG,2011-04-29,1,0.4650853360039969
2265,601111.XSHG,2011-04-29,0,0.3833573211227625
2268,601186.XSHG,2011-04-29,0,0.38965994606065535
2273,601390.XSHG,2011-04-29,1,0.35282283747116616
2275,601600.XSHG,2011-04-29,0,0.6025164429703611
2277,601607.XSHG,2011-04-29,0,0.3630333072112397
2278,601618.XSHG,2011-04-29,1,0.5146800792893242
2280,601668.XSHG,2011-04-29,1,0.4343112480172747
2282,601766.XSHG,2011-04-29,1,0.4530101772824343
2284,601857.XSHG,2011-04-29,1,0.5337956562023758
2285,601888.XSHG,2011-04-29,0,0.3834370862480047
2286,601899.XSHG,2011-04-29,0,0.4243798640662552
2287,601933.XSHG,2011-04-29,0,0.40508022320220505
2290,601989.XSHG,2011-04-29,0,0.5386875443720701
2292,000596.XSHE,2011-04-29,1,0.49640731973138313
2293,000661.XSHE,2011-04-29,1,0.35839023863325054
2295,000786.XSHE,2011-04-29,0,0.4752563430735412
2297,000963.XSHE,2011-04-29,1,0.3453739473266038
2298,002001.XSHE,2011-04-29,1,0.4698163711396105
2299,002008.XSHE,2011-04-29,1,0.5064802740679197
2301,002032.XSHE,2011-04-29,1,0.5753799438890816
2303,002050.XSHE,2011-04-29,1,0.5538906522861434
2304,002120.XSHE,2011-04-29,0,0.5493740754946536
2305,002179.XSHE,2011-04-29,0,0.4198544013513013
2306,002230.XSHE,2011-04-29,0,0.522800997168263
2307,002236.XSHE,2011-04-29,0,0.6916297710005567
2308,002252.XSHE,2011-04-29,0,0.39597150513078366
2309,002271.XSHE,2011-04-29,1,0.3403978806233374
2310,002311.XSHE,2011-04-29,1,0.35686929470673434
2311,002352.XSHE,2011-04-29,0,0.40936473307389726
2312,002410.XSHE,2011-04-29,0,0.4925609626850081
2313,002460.XSHE,2011-04-29,0,0.44420293126737254
2314,002475.XSHE,2011-04-29,0,0.3014022707990225
2315,002493.XSHE,2011-04-29,0,0.456240753393608
2317,300003.XSHE,2011-04-29,0,0.40618330235845224
2318,300015.XSHE,2011-04-29,1,0.4316701798818561
2321,300122.XSHE,2011-04-29,0,0.4310053952132492
2322,300124.XSHE,2011-04-29,1,0.446762582695324
2323,300142.XSHE,2011-04-29,0,0.3973372537913791
2324,300144.XSHE,2011-04-29,1,0.5375934347906915
2325,600011.XSHG,2011-04-29,0,0.4432946648543012
2326,600018.XSHG,2011-04-29,1,0.5335560781277152
2328,600176.XSHG,2011-04-29,1,0.5496390990893203
2329,600183.XSHG,2011-04-29,0,0.44994787679194503
2330,600332.XSHG,2011-04-29,0,0.440596850365128
2333,600438.XSHG,2011-04-29,0,0.4137332145958319
2334,600570.XSHG,2011-04-29,1,0.4802996610868499
2335,600606.XSHG,2011-04-29,0,0.5389953926287604
2336,600655.XSHG,2011-04-29,0,0.43593223508092976
2338,600809.XSHG,2011-04-29,1,0.47977939378384177
2339,600886.XSHG,2011-04-29,0,0.4851463813268102
