index,stock,tradeDate,return,class,factor
20427,000538.XSHE,31/05/2018,-0.06257669,0,1
20428,000568.XSHE,31/05/2018,-0.11924747,0,1
20429,000596.XSHE,31/05/2018,0.01470405,1,0.7768857
20430,000625.XSHE,31/05/2018,-0.11242604,0,1
20431,000651.XSHE,31/05/2018,-0.00736842,0,0.6013911
20432,000661.XSHE,31/05/2018,0.06099436,1,0.99999535
20433,000703.XSHE,31/05/2018,-0.10415412,0,1
20434,000708.XSHE,31/05/2018,-0.05280436,0,1
20435,000725.XSHE,31/05/2018,-0.12802858,0,1
20436,000768.XSHE,31/05/2018,-0.0084419,0,1
20439,000786.XSHE,31/05/2018,-0.117994,0,1
20440,000800.XSHE,31/05/2018,-0.15860517,0,1
20441,000858.XSHE,31/05/2018,-0.03773107,1,0.64943916
20442,000876.XSHE,31/05/2018,-0.11079944,0,1
20443,000895.XSHE,31/05/2018,-0.09863481,0,1
20444,000938.XSHE,31/05/2018,-0.06983655,0,1
20445,000963.XSHE,31/05/2018,-0.05648088,0,1
20446,000977.XSHE,31/05/2018,0.08212341,1,1
20447,001979.XSHE,31/05/2018,-0.10099103,0,1
20448,002001.XSHE,31/05/2018,-0.02819067,0,1
20449,002007.XSHE,31/05/2018,-0.10051675,0,1
20450,002008.XSHE,31/05/2018,-0.03290909,0,1
20451,002024.XSHE,31/05/2018,-0.13460356,0,1
20452,002027.XSHE,31/05/2018,-0.07216398,0,1
20453,002032.XSHE,31/05/2018,-0.00348297,0,1
20454,002044.XSHE,31/05/2018,-0.08762364,0,0.9996511
20455,002049.XSHE,31/05/2018,-0.08993399,0,1
20456,002050.XSHE,31/05/2018,0.10817166,1,1
20458,002120.XSHE,31/05/2018,-0.0154046,0,0.9998926
20459,002129.XSHE,31/05/2018,-0.16735837,0,1
20461,002157.XSHE,31/05/2018,-0.16768916,0,1
20462,002179.XSHE,31/05/2018,0.00192441,0,0.96339446
20463,002202.XSHE,31/05/2018,-0.21685254,0,1
20464,002230.XSHE,31/05/2018,-0.11433306,0,1
20465,002236.XSHE,31/05/2018,-0.07010309,0,1
20466,002241.XSHE,31/05/2018,-0.09743136,0,1
20468,002271.XSHE,31/05/2018,-0.17261993,0,1
20469,002304.XSHE,31/05/2018,-0.06744509,0,0.8451075
20470,002311.XSHE,31/05/2018,-0.13219978,0,1
20471,002352.XSHE,31/05/2018,-0.07024793,0,1
20472,002371.XSHE,31/05/2018,0.13479552,1,1
20473,002410.XSHE,31/05/2018,0.03085502,1,0.5576912
20475,002415.XSHE,31/05/2018,-0.05159642,0,1
20477,002460.XSHE,31/05/2018,-0.07526366,0,1
20479,002475.XSHE,31/05/2018,-0.03012048,0,1
20480,002493.XSHE,31/05/2018,-0.02457467,0,0.50652164
20481,002555.XSHE,31/05/2018,-0.08163265,0,1
20482,002568.XSHE,31/05/2018,-0.155625,0,1
20483,002594.XSHE,31/05/2018,-0.06783969,0,1
20484,002600.XSHE,31/05/2018,-0.1696,0,1
20485,002601.XSHE,31/05/2018,-0.08621908,0,1
20486,002602.XSHE,31/05/2018,-0.07407407,0,0.99963474
20488,002624.XSHE,31/05/2018,-0.13980583,0,1
20489,002709.XSHE,31/05/2018,-0.07843137,0,1
20490,002714.XSHE,31/05/2018,-0.15635674,0,1
20493,002812.XSHE,31/05/2018,-0.03192118,0,1
20494,002821.XSHE,31/05/2018,0.01183157,0,0.9186696
20495,002841.XSHE,31/05/2018,-0.04795009,0,1
20497,300003.XSHE,31/05/2018,-0.07493626,0,1
20498,300014.XSHE,31/05/2018,-3.51E-05,0,0.93623555
20499,300015.XSHE,31/05/2018,-0.02151515,1,0.60807335
20501,300059.XSHE,31/05/2018,-0.00678222,0,1
20502,300122.XSHE,31/05/2018,-0.01597183,0,0.9999999
20503,300124.XSHE,31/05/2018,0.01358863,0,0.99139965
20504,300142.XSHE,31/05/2018,-0.1675,1,0.7354883
20505,300144.XSHE,31/05/2018,0.01468048,0,0.6186504
20506,300274.XSHE,31/05/2018,-0.36743644,0,1
20507,300316.XSHE,31/05/2018,-0.15726062,0,1
20508,300347.XSHE,31/05/2018,0.08277914,1,0.9999999
20509,300408.XSHE,31/05/2018,-0.00528738,0,1
20510,300413.XSHE,31/05/2018,-0.12175926,0,1
