,,PCT_CHG
2015-08-31,600299.SH,-27.19352831362788
2020-03-31,600745.SH,-27.172275238573583
2016-01-29,601390.SH,-27.10622710622711
2020-09-30,000876.SZ,-27.105263157894733
2018-02-28,601600.SH,-27.070457354758947
2015-07-31,600362.SH,-27.06963769631526
2016-01-29,000069.SZ,-27.04545454545456
2011-12-30,002008.SZ,-27.030033370411576
2015-07-31,000069.SZ,-27.020745967893955
2016-01-29,600079.SH,-26.99910152740341
2021-01-29,600340.SH,-26.914153132250583
2016-07-29,000002.SZ,-26.903445194676745
2016-01-29,600031.SH,-26.899696048632226
2020-09-30,600521.SH,-26.897652154091634
2018-04-27,600150.SH,-26.862539349422875
2015-08-31,002129.SZ,-26.84485764090646
2020-09-30,002157.SZ,-26.841046277665992
2014-12-31,002120.SZ,-26.826273787599753
2018-10-31,002202.SZ,-26.810990840965864
2012-03-30,600132.SH,-26.78284182305629
2016-01-29,600795.SH,-26.717557251908396
2015-06-30,002001.SZ,-26.661192719037373
2016-01-29,600340.SH,-26.627604166666664
2010-05-31,000776.SZ,-26.621849121371387
2013-06-28,600109.SH,-26.611359285258462
2014-03-31,002153.SZ,-26.589698046181166
2015-08-31,600030.SH,-26.585612843886388
2013-06-28,600705.SH,-26.572327044025158
2015-06-30,601899.SH,-26.542324246771866
2017-01-26,000066.SZ,-26.5273311897106
2015-07-31,000651.SZ,-26.410246334284015
2015-06-30,002007.SZ,-26.346194182791717
2015-08-31,600061.SH,-26.33365664403493
2015-10-30,000786.SZ,-26.318622174381044
2020-03-31,002241.SZ,-26.3134261338123
2013-06-28,600061.SH,-26.306913996627323
2011-12-30,600745.SH,-26.289926289926292
2016-01-29,600029.SH,-26.254375729288213
2015-06-30,000656.SZ,-26.254002134471722
2010-06-30,600763.SH,-26.217532467532468
2015-07-31,000157.SZ,-26.14056720098642
2020-03-31,600584.SH,-26.08042089440059
2010-06-30,600521.SH,-25.991189427312776
2020-03-31,002008.SZ,-25.991073772643738
2018-10-31,002008.SZ,-25.985367004956327
2021-07-30,000860.SZ,-25.983878615457566
2015-08-31,000860.SZ,-25.97816196542312
2021-03-31,600340.SH,-25.943396226415093
2020-11-30,002044.SZ,-25.938967136150236
2016-01-29,600886.SH,-25.868263473053887
2015-08-31,002230.SZ,-25.8653072176013
2012-10-31,000063.SZ,-25.806451612903235
2019-05-31,002241.SZ,-25.797373358348963
2011-12-30,600426.SH,-25.762045231071774
2015-06-30,600233.SH,-25.58873441584858
2015-07-31,601009.SH,-25.5701754385965
2010-06-30,600332.SH,-25.552825552825553
2018-10-31,000860.SZ,-25.548245614035082
2010-06-30,000725.SZ,-25.520833333333336
2021-08-31,600763.SH,-25.50244087998479
2015-08-31,002311.SZ,-25.501651448490716
2012-11-30,000596.SZ,-25.49391069012179
2011-04-29,000895.SZ,-25.39132666153452
2020-03-31,002153.SZ,-25.380056686421028
2015-08-31,600999.SH,-25.35079513564078
2016-01-29,000596.SZ,-25.315068493150672
2012-06-29,000656.SZ,-25.295343988881168
2015-06-30,600031.SH,-25.28371965188878
2018-06-29,600482.SH,-25.267665952890795
